2026-06-13 01:04:28 | INFO | __main__ | Pipeline command started | command=weekend-policy-compare
2026-06-13 01:14:53 | INFO | src.backtest.backtest_engine | Execution progress | signal=275/650, trades=201, balance=12502.81
2026-06-13 01:14:57 | INFO | src.backtest.backtest_engine | Execution progress | signal=300/650, trades=218, balance=13145.60
2026-06-13 01:15:02 | INFO | src.backtest.backtest_engine | Execution progress | signal=325/650, trades=233, balance=13242.06
2026-06-13 01:15:07 | INFO | src.backtest.backtest_engine | Execution progress | signal=350/650, trades=249, balance=13400.51
2026-06-13 01:15:10 | INFO | src.backtest.backtest_engine | Execution progress | signal=375/650, trades=267, balance=13528.34
2026-06-13 01:15:16 | INFO | src.backtest.backtest_engine | Execution progress | signal=400/650, trades=281, balance=13731.97
2026-06-13 01:15:20 | INFO | src.backtest.backtest_engine | Execution progress | signal=425/650, trades=294, balance=13825.42
2026-06-13 01:15:24 | INFO | src.backtest.backtest_engine | Execution progress | signal=450/650, trades=315, balance=14106.57
2026-06-13 01:15:30 | INFO | src.backtest.backtest_engine | Execution progress | signal=475/650, trades=334, balance=14334.19
2026-06-13 01:15:36 | INFO | src.backtest.backtest_engine | Execution progress | signal=500/650, trades=352, balance=14773.02
2026-06-13 01:15:42 | INFO | src.backtest.backtest_engine | Execution progress | signal=525/650, trades=365, balance=15088.86
2026-06-13 01:15:46 | INFO | src.backtest.backtest_engine | Execution progress | signal=550/650, trades=385, balance=15086.14
2026-06-13 01:15:49 | INFO | src.backtest.backtest_engine | Execution progress | signal=575/650, trades=402, balance=15606.46
2026-06-13 01:15:51 | INFO | src.backtest.backtest_engine | Execution progress | signal=600/650, trades=420, balance=15850.25
2026-06-13 01:15:54 | INFO | src.backtest.backtest_engine | Execution progress | signal=625/650, trades=434, balance=16131.15
2026-06-13 01:15:56 | INFO | src.backtest.backtest_engine | Execution progress | signal=650/650, trades=450, balance=16497.07
2026-06-13 01:15:56 | INFO | src.backtest.backtest_engine | START write backtest reports | output=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/weekend_policy_comparison/20260613_000428_usdjpy_fx_swing_trend_reclaim_v1/close_losing_trades_friday_20_30
2026-06-13 01:15:57 | INFO | src.backtest.backtest_engine | DONE write backtest reports | elapsed=0.8s
2026-06-13 01:15:57 | INFO | src.backtest.backtest_engine | Backtest complete | trades=450, ending_balance=16497.07, reports=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/weekend_policy_comparison/20260613_000428_usdjpy_fx_swing_trend_reclaim_v1/close_losing_trades_friday_20_30
2026-06-13 01:15:57 | INFO | src.backtest.weekend_policy_runner | DONE run weekend variant | elapsed=114.8s
2026-06-13 01:15:57 | INFO | src.backtest.weekend_policy_runner | Weekend variant 7/9 | name=keep_only_trades_above_1r_friday_20_30
2026-06-13 01:15:57 | INFO | src.backtest.weekend_policy_runner | START run weekend variant | variant=keep_only_trades_above_1r_friday_20_30
