event_id,event_time_utc,country,currency,event_name,impact,actual,forecast,previous,source
2022-02-22-usd-fomc-member-bowman-speaks-5e30e1b4,2022-02-22T12:15:00Z,United States,USD,FOMC Member Bowman Speaks,HIGH,,,,nasdaq_economic_calendar
2022-02-23-jpy-boj-core-cpi-77cc7e33,2022-02-23T01:00:00Z,Japan,JPY,BoJ Core CPI,HIGH,0.8%,,0.9%,nasdaq_economic_calendar
2022-02-23-usd-cb-consumer-confidence-b259ab90,2022-02-23T11:00:00Z,United States,USD,CB Consumer Confidence,HIGH,110.5,110.0,111.1,nasdaq_economic_calendar
2022-02-25-usd-core-pce-prices-c26b33c8,2022-02-25T09:30:00Z,United States,USD,Core PCE Prices,HIGH,5.00%,4.90%,4.90%,nasdaq_economic_calendar
2022-02-25-usd-gdp-86e75850,2022-02-25T09:30:00Z,United States,USD,GDP,HIGH,7.0%,7.0%,6.9%,nasdaq_economic_calendar
2022-02-25-usd-gdp-price-index-ccfde064,2022-02-25T09:30:00Z,United States,USD,GDP Price Index,HIGH,7.2%,6.9%,7.0%,nasdaq_economic_calendar
2022-02-25-usd-gdp-sales-84391b78,2022-02-25T09:30:00Z,United States,USD,GDP Sales,HIGH,2.0%,,1.9%,nasdaq_economic_calendar
2022-02-25-usd-pce-prices-39661e44,2022-02-25T09:30:00Z,United States,USD,PCE Prices,HIGH,6.3%,6.4%,5.3%,nasdaq_economic_calendar
2022-02-25-usd-fomc-member-bostic-speaks-8b755d18,2022-02-25T12:10:00Z,United States,USD,FOMC Member Bostic Speaks,HIGH,,,,nasdaq_economic_calendar
2022-02-25-usd-fomc-member-mester-speaks-48200332,2022-02-25T13:00:00Z,United States,USD,FOMC Member Mester Speaks,HIGH,,,,nasdaq_economic_calendar
